010000	01000000
019900	01000000
010100	01000100
010110	01000100
010120	01000200
010130	01000300
010140	01000400
010150	01000402
010160	01000500
010170	01000600
010180	01000700
010200	01000800
010210	01000800
010220	01000900
010300	01001000
010310	01001000
010320	01001200
010400	01001100
010499	01001100
010410	01001101
010420	01001103
010430	01001105
010440	01001107
020000	02000000
029900	02000000
020101	02000100
020102	02000200
020103	02000300
020104	02000400
020100	02000500
020109	02000500
020111	02000600
020112	02000700
020113	02000800
020114	02000900
020119	02001000
020200	02001100
020201	02001100
020202	02001200
020203	02001300
020204	02001400
020205	02001400
020206	02002401
020207	02002402
020221	02001500
020222	02001600
020223	02001700
020224	02001800
020225	02001800
020226	02002501
020227	02002502
020300	02001900
020301	02001900
020311	02002100
020312	02002201
020313	02002202
020302	02002000
020331	02002300
020400	02002600
020499	02002600
020401	02002601
020406	02002603
020402	02002604
020407	02002606
020403	02002607
020408	02002609
020404	02002610
020409	02002612
020405	02002613
020410	02002615
020411	02002700
020412	02002700
020500	02002800
020599	02002800
020501	02002801
020502	02002802
020900	02002900
020999	02002900
020910	02002901
020911	02002901
020912	02002901
020913	02002901
020914	02002903
020915	02002903
020916	02002903
020920	02002905
020921	02002905
020922	02002905
020923	02002905
020924	02002907
020925	02002907
020926	02002907
020800	02003000
020810	02003001
020811	02003001
020812	02003001
020820	02003003
020821	02003003
020822	02003003
020511	02003100
020512	02003103
020522	02003201
020521	02003202
020531	02003300
020541	02003400
020601	02003403
020600	02003404
020602	02003404
020701	02003500
020702	02003600
020703	02003700
020700	02003900
020799	02003900
020711	02004100
020712	02004300
020713	02004400
020714	02004500
020715	02004600
020716	02003800
040470	02004000
020798	02004700
030000	03000000
030099	03000000
039900	03000000
030100	03010000
030101	03010100
030102	03010200
030103	03010300
030131	03010400
030132	03010500
030141	03010600
030151	03010700
030105	03010801
030104	03010802
030111	03010803
030121	03010804
030161	03010900
030200	03020000
030201	03020100
030210	03020200
030230	03020300
030220	03020400
030240	03020500
030241	03020500
030242	03020500
030250	03020600
030260	03020600
030270	03020800
030290	03020900
030280	03021000
030300	03030000
030301	03030100
030311	03030201
030312	03030202
030321	03030301
030322	03030302
030332	03030500
030333	03030600
030313	03030700
030341	03030800
030461	03030800
030342	03030900
030351	03031100
030352	03031200
030361	03031300
030373	03031600
030372	03031600
030371	03031600
030374	03031602
030375	03031700
030400	03040000
030401	03040100
030411	03040201
030415	03040202
030420	03040203
030421	03040300
030440	03040400
030441	03040500
030442	03041400
030451	03040600
030447	03040700
030452	03040703
030453	03040800
030479	03040900
030454	03041000
030446	03041100
030480	03041200
030481	03041300
030443	03041400
030444	03041501
030445	03041503
030455	03041600
030456	03041700
030334	03041800
030457	03041900
030458	03042000
030459	03042100
030482	03042200
030483	03042300
030462	03042400
030463	03042400
030464	03042400
030466	03042600
030471	03042700
030474	03042800
030475	03042800
030477	03042900
030476	03043000
030500	03050000
030599	03050000
030510	03050100
030520	03050200
030530	03050300
030540	03050400
030550	03050500
030560	03050600
030570	03050700
030580	03050800
030600	03060000
030601	03060100
030602	03060200
030603	03060300
030604	03060400
030605	03060400
030611	03060500
030612	03060701
030613	03060702
030621	03060800
030622	03060901
030623	03060902
030631	03061001
030632	03061002
030633	03061101
030641	03061102
030651	03061200
030661	03061300
030662	03061300
030663	03061300
030700	03070000
030701	03070100
030710	03070200
030720	03070301
030740	03070302
030750	03070400
030760	03070500
030770	03070600
030780	03070700
030800	03080000
030801	03080101
030802	03080102
030803	03080200
030804	03080300
030805	03080400
030871	03080500
030806	03080600
030730	03080602
030478	03080613
030807	03080700
030819	03080800
030811	03080801
030812	03080801
030813	03080801
030829	03080802
030821	03080802
